specific_humidity,LW_down,SW_down,rainfall,sst,t2m,GBI_history,GBI
4.575851359,300.7024324,223.6017847,1.125760547,273.7381941,275.1548477,5121.94217,5199.25538
4.487901046,303.4744696,228.5534534,0.452848698,273.7987719,275.1582881,5178.04792,5210.75692
4.534468717,307.0487441,204.7990849,1.461206511,273.8418523,275.3582319,5211.10519,5229.43987
4.637147117,305.9556879,216.9835351,0.811806805,273.9000799,275.4381435,5214.76509,5253.38773
4.775245388,309.6575818,213.9237775,2.380470673,274.2244956,275.7674252,5210.31822,5264.16832
5.154024028,303.4844989,226.1123364,2.024106557,274.3417295,276.5963109,5202.89032,5277.38697
4.901374838,304.0947388,234.0481332,1.073631129,274.4773061,276.6927319,5195.87158,5297.11731
4.83958795,302.74421,242.5396987,0.538238719,274.5759219,276.7192968,5191.97804,5313.12478
4.808523041,310.2719321,225.0633368,0.696297823,274.6651189,276.4272756,5199.25538,5322.25777
4.948170434,308.8066746,207.028078,1.003341132,274.7628338,276.343417,5210.75692,5321.27954
4.462631176,298.8700714,236.779657,0.296996156,274.8624073,276.1512245,5229.43987,5323.36187
4.317891827,299.9893818,239.773396,0.13252653,274.9910074,276.3780922,5253.38773,5338.31274
4.432176967,302.5007534,237.7538542,0.177478849,275.0710857,276.3690863,5264.16832,5360.79849
4.601867735,303.1472374,242.1895359,0.540607755,275.1194005,276.5535001,5277.38697,5385.77923
4.518181316,305.4757374,226.7522919,0.189134428,275.1578295,276.3260179,5297.11731,5406.01426
4.360770674,301.1618417,233.5101642,0.145689509,275.2265369,276.2310859,5313.12478,5418.58342
4.147030275,291.7723597,256.6970237,0.07029608,275.3024372,276.2533403,5322.25777,5430.49373
4.116166414,285.6928045,269.9563767,0.242462717,275.3837044,276.7544365,5321.27954,5451.86353
4.151735739,288.5024888,271.8189637,0.078633299,275.4568548,277.1883286,5323.36187,5477.15048
4.410217016,296.0988498,256.0274638,0.549165033,275.6950385,277.4332272,5338.31274,5496.74881
5.036580277,305.2399483,235.7500357,0.487224882,275.7505204,277.5347498,5360.79849,5506.5779
5.286284743,309.6734753,215.3929329,0.531436805,275.8357323,277.358738,5385.77923,5506.65246
5.722371472,315.2380034,215.3886347,0.725569275,275.8781741,277.9387449,5406.01426,5508.66673
6.562979875,330.9789461,168.778112,2.257267673,275.9258705,278.3690386,5418.58342,5519.02398
6.849331372,327.0262627,158.5730651,2.855262113,275.9501341,278.0701753,5430.49373,5530.44219
6.149715823,318.2560863,156.7272372,2.512695749,275.9952944,277.3999191,5451.86353,5538.17737
5.262536535,317.2774357,157.651045,1.930791022,276.0151635,277.1755253,5477.15048,5531.86145
5.034413779,315.177373,144.6595976,1.855183702,276.0553581,276.7686813,5496.74881,5510.91679
4.648486556,314.1407361,139.2838589,1.745083486,276.0909053,276.7978044,5506.5779,5490.2241
4.275947939,308.0610135,149.8179974,1.47239572,276.1002982,276.5063328,5506.65246,5468.95836
3.894918839,298.6852147,173.0726979,1.072474727,276.1561031,276.5609016,5508.66673,5443.11555
3.926546036,303.5165309,167.0228207,1.066186722,276.2565274,276.7216774,5519.02398,5419.24524
4.112576363,308.7375709,150.6388913,1.176945294,276.4109725,277.0334777,5530.44219,5404.91712
4.259585262,306.0266083,154.5388615,1.499408198,276.5210378,277.078114,5538.17737,5399.90165
4.454811112,302.7942269,162.0066419,1.273846793,276.6265234,277.2472096,5531.86145,5394.85505
4.399627632,298.7110738,178.2439657,1.637807379,276.5079808,277.1166002,5510.91679,5381.84267
4.752543048,296.8593752,184.2390449,1.371136281,276.5767153,277.4779925,5490.2241,5365.68812
4.788060302,303.6238234,160.6121213,2.207869456,276.5828705,277.4594027,5468.95836,5347.09511
4.694627221,304.628262,145.0506521,1.754229866,276.5451101,277.3881804,5443.11555,5329.27961
4.446137994,297.5377183,162.5437651,1.259216158,276.594531,277.055891,5419.24524,5321.88022
4.335713641,301.3941937,156.9314643,0.983497944,276.623954,277.2160389,5404.91712,5318.39454
4.040544767,301.9571047,146.8207818,2.173098968,276.6988792,277.0548932,5399.90165,5312.75498
4.047979641,304.4057801,133.6883025,2.521152989,276.7541531,276.9067602,5394.85505,5307.15652
4.277108675,306.6367262,133.8861457,1.258867836,276.9251237,277.3266832,5381.84267,5293.14292
4.29538647,309.179545,128.7142918,2.20896038,277.0928736,277.4867306,5365.68812,5262.02174
4.156537753,309.1430605,138.0374289,1.010835514,277.2216077,277.3576275,5347.09511,5227.60684
4.123312694,305.6397798,134.3293472,1.053738663,277.3082769,277.2387964,5329.27961,5213.91111
4.500180954,309.825378,140.515565,1.178974926,277.3604284,277.7328227,5321.88022,5217.06057
5.19492602,315.6228057,136.1390425,0.36437615,277.3791803,278.16335,5318.39454,5218.49257
5.56498066,307.239061,154.270809,0.379877347,277.4286715,278.5948653,5312.75498,5220.9211
5.573039334,312.1477125,142.8361485,1.196467143,277.5071668,278.9866632,5307.15652,5238.61335
5.576487827,323.7351976,106.2560172,1.279630893,277.5003424,278.5751204,5293.14292,5260.05305
5.664953776,325.3571106,100.9267319,2.0854527,277.4872006,278.3582732,5262.02174,5272.41398
4.813583249,315.9654419,105.5497303,0.699157244,277.4981837,277.958838,5227.60684,5277.21243
4.571625982,316.9166571,106.585128,1.181245619,277.5190825,277.63124,5213.91111,5281.43655
4.740862032,320.5537801,89.81121061,0.885287905,277.5731944,277.6564531,5217.06057,5292.38509
4.86430797,317.4115517,88.65715444,3.189915039,277.6314173,277.7776347,5218.49257,5310.52523
4.770521696,313.9166641,87.51653366,4.212268696,277.6799572,277.7852094,5220.9211,5337.12493
4.623362237,307.6987503,97.92472193,2.441105863,277.7254412,277.8916589,5238.61335,5365.15794
4.766087182,308.4367042,102.3866644,1.233306773,277.7703492,278.2624505,5260.05305,5387.61195
4.587507992,310.7266298,92.05795983,1.022592807,277.807805,277.9399764,5272.41398,5401.40528
4.348019914,311.2628913,91.00643099,1.46565424,277.8356063,277.7073437,5277.21243,5409.28432
4.277023602,314.3921321,76.39068763,1.085868922,277.8224802,277.603777,5281.43655,5420.65625
4.182134042,309.7824768,74.16509947,1.746221895,277.7946754,277.677018,5292.38509,5435.07793
4.064582604,308.9566839,77.40158829,2.020824988,277.7720351,277.5572312,5310.52523,5447.15842
4.096556142,308.5790773,72.29457949,4.675939129,277.7521103,277.4522519,5337.12493,5451.15333
3.999822682,307.2384649,68.67900228,2.617062768,277.3392977,277.2122092,5365.15794,5442.87047
4.037525391,304.991378,72.62781422,2.803995487,277.3161247,276.6989433,5387.61195,5425.57862
3.954642506,301.461687,68.40973459,2.328227191,277.3031159,276.6392813,5401.40528,5409.54838
3.46436409,298.483085,73.1256214,0.682781589,277.3200021,276.3159839,5409.28432,5408.32036
3.456164448,299.5802943,70.94459443,1.38609893,277.3824324,276.4045989,5420.65625,5425.03704
3.514599198,298.494023,71.77260998,1.481082767,277.4778394,276.5646774,5435.07793,5449.99355
3.520234083,306.0842105,64.25187548,2.253530413,277.5616873,276.4845046,5447.15842,5470.85414
4.229413903,310.985333,57.50392068,2.745186414,277.6321777,277.3635676,5451.15333,5484.32678
4.320929357,300.0201825,64.77305999,3.186738676,277.6715713,277.4177736,5442.87047,5492.51781
4.268454346,301.9280439,69.21820116,1.586820481,277.6665587,277.5356649,5425.57862,5488.9257
4.488121428,298.8432037,77.95214417,1.274548541,277.610513,277.8626452,5409.54838,5473.48206
4.698672132,302.2649165,71.65277449,1.306116769,277.521279,278.0052689,5408.32036,5456.89815
4.940261858,309.1100614,64.34265782,1.577605637,277.4072427,278.1879289,5425.03704,5437.57454
5.229803455,316.6511728,51.01790242,1.701099009,277.2763265,278.1544233,5449.99355,5419.71896
